Customer Name,Ratings,Review Title,Reviews
PIPL,4.0 out of 5 stars,Good printer,Good quality printer. Wifi printing is very easy and helpful. This is our 2nd printer.
Raghavendra. Fattepur,4.0 out of 5 stars,Setting automatically cheng what's it? Wifi is not working, Quality is good but setting is automatically cheng is this broblem wifi is not work
KB Kale,4.0 out of 5 stars,Good printer,It is OK. Print quality is good but occasionally some comments pop up which I don’t understand.
S DURGESHWARAN,4.0 out of 5 stars,I have purchased this product on Jan 2021 .but website shows warranty expired .kindly clarify,I have purchased this product on Jan 2021 .but website shows warranty expired .kindly clarify
Sangappa nagnath teli,5.0 out of 5 stars,Sopar,Supar
Vishwajeet Singh,3.0 out of 5 stars,This product is beyond your expectations.,it will take bit more time to ready to print and if someone wants to pay this much amount so there lot of options in brother and hp.It works very slow.
Abhay Gala,4.0 out of 5 stars,Printer Features,Printer working good... Whatever i neede for my office is just like that... So i will surely recommend this product
Dr. Amit Patil,3.0 out of 5 stars,Not value for money....,"It took too many attempts to install the printer. A
The customer service is also very slow and most of them don't know what has to be done to fix the issue. After this also the scanning option on WiFi is not working.
Not happy with HP."
Saurabh Malhotra,4.0 out of 5 stars,Good Product,"good product, easy to install and gives quick print outs. I would be happy if the prices of cartridges comes down a bit though, but overall a great product."
Jaideep Badadhe,4.0 out of 5 stars,Low price good features,I liked the printer for its low price and excellent features. Control panel display should have been LED backlit but it isn't so. Thats a big minus point as also the 88A toner cartridge has low capacity in terms of pages printed per toner.
Vuttur Ravinder,4.0 out of 5 stars,Vuttur Ravinder,Printer not working only off page then struck the printer
Kohinoor Books,5.0 out of 5 stars,Top Quality Product but Cartridge is Low,"Although a bit costly, the performance is excellent. The printer came with a free cartridge. But that cartridge could print only about 100 pages. We did not anticipate this. Hence our printing service was affected when cartridge ran out. The manufacturer should clearly indicate how long the free cartridge would last, so that customers can prepare accordingly."
Surya Bhan Singh Ranawat,4.0 out of 5 stars,Good,Very nice product but very slow printing
Karthik M,5.0 out of 5 stars,Excellent WiFi connection,Bought this printer as a replacement for another hp printer that I had. Was really impressed on how easy it was to set it up wirelessly. Used the wps button on my router and the whole process took less than 5 minutes. I have used it only for two days but the prints are very clear. I can print either from an Android phone or iPhone without any trouble.
Ashok Kumar,4.0 out of 5 stars,Good product,Product is good but price is high.
R Anand,3.0 out of 5 stars,"Good printer, but average scanning and copying","Good printer, but average scanning and copying"
Amazon Customer,5.0 out of 5 stars,Good product,It's good product easy to used and good quality of printing
MIRZA AAMIR BEG,5.0 out of 5 stars,because of the HP poor quality. So I am planning to buy a ...,"I already have a two HP inkjet printer. They both get dumped, because of the HP poor quality. So I am planning to buy a laser printer, first I am confused which printer I have to buy . I never go for HP because of my bad experience . But one of my friend advice me to buy this product. I am in dilemma, whether I have to buy or not.
But seriously this HP laser jet printer is too good, it is affordable in price and gives you Wi-Fi, Air-print easily and fastly. Wherever u sit , it easily print with laptop, Apple AirPrint.
But I face challenges with android phone to connect. It takes time to print, sometimes it cancels.
Overall product is good."
Shravan,5.0 out of 5 stars,Good ????,Good ????
Viren Bavishi,4.0 out of 5 stars,HP M126nw,Installation Service Should be Provided by HP
Alan,2.0 out of 5 stars,"Not a true wifi printer, poor quality","Wifi is for direct print/connection only, not to the wifi network. There is no duplex for this, and the latest HP Smart software does not work for this.

Luckily we do not print much, so this printer does the job, but when you look at it, it feels that it was technology from 3-4 generations ago. It's a little expensive for what it is, but seems that when it comes to printers, India does not sell the latest printers/ranges at affordable prices when compared to purchasing in the UK.

During scanning the printer sometimes resets itself, which is a pain when scanning 10+ pages manually and having to restart after the printer resets."
KAMAL BELWAL,1.0 out of 5 stars,Poor service,"Very poor customer service
Printing speed slow"
vikram singh,3.0 out of 5 stars,Screen and Wi-Fi issues,Overall it is the best printer for me and you also but it cannot catch Wi-Fi properly and the the screen on it is very bright less you can't even see it with naked eyes you have torch upon it so the only think I get it from that there is a Wi-Fi and screen problem in this printer and all the print quality is best and fast.
krunal parmar,5.0 out of 5 stars,Don't hesitate to purchase this printer,"I think purchasing this printer is totally worth. It's very useful if you want for your office as well as for home because of it's additional feature like wifi connected. Place it any where and print from your phone and computer which feels good. In one line i can say "" this printer is awesome"""
Pranav Chaudhary,5.0 out of 5 stars,Extremely good!,"The printer is absolutely hassle free, it supports apple airprint aswell and one can scan documents directly to his phone as well. WiFi setup is a bit tricky and you need to have a WPS router to connect it. Otherwise the printer is very good, fast printing speeds, good scanner and good features like ID copy. Only bad point is does not have backlit display. So its difficult to use this printers features without bright light."
Sandesh Chhatwal,3.0 out of 5 stars,NOT RECOMMENDED FOR MAC,"Printer is good . Very difficult to install on wifi . you need to see lot of YouTube videos . For MAC user its almost a headache to instal this printer and Eprint is almost impossible unless you are hardware engineer . There is specific ip address of printer , so every time you have to print you have to select the ip and start the print . Wifi scan will to work on Mac ."
S. Rawal,4.0 out of 5 stars,"Love the printer, cartridges are costly.","Very useful addition to homes and small businesses. Easy to set up and operate. The connection to existing WiFi networks is easy. Printing from Mobile phones and Tablets is convenient and nifty, once you get the hang of it.
The only drawback i came across is the relatively high cost of ink refills. Around Rs.3000 for a genuine HP cartridge is not exactly economical. -1 star for that.
I would really appreciate the facility of automatic duplex printing. Not a deal-breaker, though."
Kalpesh Rampariya,4.0 out of 5 stars,Good to have it,Good to have it
Amazon Customer,5.0 out of 5 stars,Wireless printer,Print quality is good and noiselee during printing.
Pratik Rathod,5.0 out of 5 stars,What you order is what you get!,"As said, what you see is what you get and in this case, what you order is what you get! Great product with great service from Amazon (product, packing and delivery). The printer setup is a breeze and WiFi connectivity couldn't have been easier. The printing process is barely audible and the print is very crisp and clear. Surprisingly the spooling time is drastically reduced as compared to the earlier HP printers that I have used. It supports printing from your PC, laptop, smartphone, tablet and compatible with Android and iOS. I don't think one would ask for more from a printer at this price point for home / home-office use. Money well spent!"
SA,5.0 out of 5 stars,Good quality and versatile,"Wonderful printer, crisp print quality with a nice set of other features. With network printing enabled, it's available from all devices on the local network, although smart phone printing is a bit restrictive, I wish I had more print options. Note that this printer does not do duplex printing, you have to do odd-even pages to achieve that.

Copying is very easy, and scan quality is also very good. Note that scanning odd sized documents is not possible (e.g. some university certificates) as the scanning bed is A4."
akshya,2.0 out of 5 stars,disappointed. i doubt whether it is a new item,"when unboxed, i had only one power cable. when i tried to use, i realise USB cable is required. gave a feedback about absence of usb cable, no response. installation is a big job . has not happened and completed though booked on 9.8.20.
the wireless button is not working . it switches on automatically with power button and switch off with power butoon.
i felt cheated though i find the dealer is authorised HP retailer"
Rammani,1.0 out of 5 stars,we are not received the tonner with printer,bad experience with this item
LOKESH. S.,4.0 out of 5 stars,Just 10 days over... cartridge showing BLACKLOW,"Product Good... and easy to use... but cartridge, just 100 print showing BLACKLOW..."
Ashutosh,5.0 out of 5 stars,"Fantastic, awesome!!","Delivered in couple of days, very easy to Install the printer. It’s more than 15 days now and I’m happy with the printer. Printing by Wifi also working well with my iPhone & Android phones. ????????????"
Shyam sunder,4.0 out of 5 stars,Very good quality printer scanner and photocopies very clear all functions is very easy,This product is very good and very useful and installation is very easy.
SK,3.0 out of 5 stars,Not too happy,"Initial one had to be replaced due to a defective. Amazon readily replaced but the new piece seems to have a toner issue. HP service asks to take toner to their service centre to check if it’s genuine or any defect in the toner. I am not too happy, was hoping for a better quality experience"
Vivacuum Tech Private Limited,3.0 out of 5 stars,GST input claims not giving,Amazon telling largest GST stores. But the GST invoice provided without mentioned our GST no. Invoice also giving in poor quality small paper pieces. By this way cheating the business people.
Yash Gupta,5.0 out of 5 stars,Recently bought it... Working is very fine.. Try at once.. In ur budget..,Hi.. I got this printer today only.. I have printed my drawings..the quality of this printer is super fine.. Easy to install without any hazzle.. WiFi connectivity which I required for my day to day work..it takes times to connect but when u connect.. I t works from any where u want to work with this.. So guys try at once if u want budgeted printer...
Md Samsuddin,3.0 out of 5 stars,Good product but Lack of backlit in display,"Product is very good but the screen is marely vissible because of not having backlit.
I am very unsatisfied in this section. Actually I am surprised thinking ""how a tech company like HP miss this kind of tiny things"".
...
In my words.......""You have been provided good food acording to your budget but you have to eat in DARK""
Haha..."
Shinjini,5.0 out of 5 stars,The best Printer at all...??,"Very user friendly installation, print quality just marvelous. Nice & smart look. The most important thing is that, I print every PDF only from my mobile through WiFi...Very satisfied, value for money also...??"
Roy,4.0 out of 5 stars,Everything is gud except the screen,There should be a led light in the screen.
javed khan,4.0 out of 5 stars,Ink is very soon empty,Printer is best but ink is very soon empty so that is a problem
Shrini Viswanathan,3.0 out of 5 stars,LED Screen does not have backlight. It's very hard to read.,Unline other HP printers the LED screen does not have a green back light. Reading from that screen is hard. First shipment the screen did not even work which Amazon replaced. The printer and scanner works well.
Vijay Sood,5.0 out of 5 stars,Nice Product for everyday Use!,"When I was planning to buy a printer for my small office, I had various options. There were different companies and different types. I asked a lot of friends and searched online too. But, it added to my confusion. So, lastly, I wrote down my exact requirements and that helped me in narrowing down to this printer. I chose this printer for the following reasons:

1) It is all-In-One printer which supports scan, copy and print
2) It is wireless, so saves me from wiring. I can place it anywhere in the office where there is power supply
3) Easy setup and ease of operation
4) Supports two sides ID printing
5) Prints in bulk, 1 toner can get you around 1500 pages
6) Excellent service support from HP

So, anyone having similar requirements can go for this Printer.

Thanks!"
Tirth,3.0 out of 5 stars,Disappointed,"This printers print quality is very poor, prints too light from the first print. Bought this for office use, very disappointing...."
Dhwani Shah,4.0 out of 5 stars,Good Product Reasonable price,This is really a very good all in one printer at this price. Although the installation instructions were a little vague you can easily download the software by searching on Google.
Sayantan Ganguly,4.0 out of 5 stars,Nice printer,Does its job as advertised.
Momina,3.0 out of 5 stars,So so product not perfect,Sometime it work smoothly sometimes we face problems with its printing .....i fall in tensio with this product when give any printing command it gives no immediate response and not take the command in a while
Deepak P.,4.0 out of 5 stars,Awesome,"Printer is very good
very fast print
Good looking
Very difficult connect to wifi direct"
Abhay,4.0 out of 5 stars,Superb product,"Old user of this printer
Is a good printer
But amazon service..superb
On time
Accurate
VERY EASY RETURNS
Unlike others

-just a second time user of amazon then to they refunded 1000 as pay balance..

BUT I AM NOT SURE HOW THIS PRINTER WILL BE INSTALLED"
Ritesh Kurup,4.0 out of 5 stars,Superb,Overall a good
Shaibul,4.0 out of 5 stars,Value for money paper jam issue,"Easy to install
Cost effective"
Kamlesh Bohra,4.0 out of 5 stars,Valu product,"Play Video
 Eprint from mobile is a great option"
Vimal Bhatia,4.0 out of 5 stars,Dissapointed with no light in the front LCD panel.Overall good,"Not used the scanner feature yet.
No light in the front LCD panel is very big DISLIKE and certainly not expected from a company like HP
Print quality is good and so is the copying."
Ramesh Chawla,4.0 out of 5 stars,Good Product,This printer is a value purchase for me along with decent print quality. Overall a good purchase
Abhi,4.0 out of 5 stars,I have issues printing Labels,"The printer, scanner and copier are working just great. When it comes to printing labels the printer mostly messes up with the margins, i have to use another printer for the labels. Rest all is great, no complaints"
Naresh Kumar Gupta,4.0 out of 5 stars,Good,There is no display light on display screen.
Deepak sharma,5.0 out of 5 stars,Jhakkas printer,Thanks to amajon and hp for providing a such printer for what i was searching. It is very easy to take print from mobile. Just connect it with your mobile once and get print with ease. May it has a option to get print of odd and even pages so that we can get duplex print easily. Compact in size also
V j patel,4.0 out of 5 stars,Wifi connection problem may be,My printer is not connect with my mobile wifi...i want this solution ...
Madhubabu,5.0 out of 5 stars,HP printer,Good product
NISHI KANTA PATRA,4.0 out of 5 stars,Quite impressive,Everything is absolute alright.
Vipul S,4.0 out of 5 stars,Good printer but tricky setting up wireless,"Good print quality. Got it for 10.5k during amazon sale. Fast and not so noisy, but wireless setup takes some time and is not very easy. The small display does not have backlit which makes it difficult to read at times."
Ananthan,1.0 out of 5 stars,??? ?????? ?????????,???? ??????
Sakib Altaf,4.0 out of 5 stars,Buy it,Its a best all in one printer.
Riti Prakash Singh katal,3.0 out of 5 stars,Poor copier print quality,"I am bit unsatisfied with the product as it's Xerox quality is very poor.
Computer print is excellent but the copier print is very light...hard to read even.

Hard to conclude the reason, kindly sort out this issue at the earliest as I am facing major problem because of this"
Shubham Sharma,4.0 out of 5 stars,Full comment pdho for full information,"Ye bhut achcha h pr .
Jo mujhe mila h usme black line aara h .
Or iske copy achche ni h.
Print mast h but copy is bad
Copy 50% result deta h bs"
Nitz,4.0 out of 5 stars,na,na
Irwinder,4.0 out of 5 stars,Works just fine ..,The installation is not much of an issue with the online software easily available and the machine does sync nicely with the Mac . The size of the machine and the speed of printing is also good .
Mehboob Shaikh,5.0 out of 5 stars,Good but expensive.,Good but expensive.
Tausif ahmed,4.0 out of 5 stars,Overall it is a nice product .,Good printer. Printing quality is good and fast. But photocopy is slow it take much time to give photos copies. Screen light is not available and it is black and white.
Amazon Customer,5.0 out of 5 stars,Thanks for hassel free return!,Though have nothing to say about the product as had to return it scanning function didn't sever my purpose of scanning multiple pages.But would like to thank the customer support for understanding the issue and helping me around. And special thanks to Sonali Ma'am for resolving my issue.
Varun Sandal,4.0 out of 5 stars,Go for a model upper that this variant. Too high price for this printer.,Struggle to stay connected with your wifi for mobile print. You will have to use Printer`s own wifi direct every time you want to print a document from your mobile device.
Selva Boaz,5.0 out of 5 stars,Excellent Printer!!,Printer is very much convenient to use. Eprint and cloud print option is very much useful. Printing speed is Good. Wifi Direct security option is also available so we don't worry about strangers for using the printer. Scanning takes less time when compared with other printers in this range. Printing noise is also low. Only one Cons is display don't have backlight so it's not visible under low lighting conditions.. After that This printer is very much useful for Home and office purposes!!
ACEFHR,4.0 out of 5 stars,Good Printer for a small office,It is easy to install and working well.
anbu,4.0 out of 5 stars,PRINTER LOW CATRIDGE,I INSTALLED THE PRINTER AND USED FOR 10 DAYS AFTER THAT IT IS SHOW LOW BLACK CATRIDGE I VERY MUCH DISAPPOINTED
Kindle Customer,5.0 out of 5 stars,Very good printer,Quality & easy to install
Harish bhaskar,4.0 out of 5 stars,U can print around 400 Pages with given toner,One of the best
Sameer,3.0 out of 5 stars,not serves wifi purpose efficient.,"Although it is printing nicely, but main purpose of printing directly from mobile does not serve. U always should have a wifi router between ur mobile and printer. Second thing cartridge given in this printer does not print as many copies as much as 1120 prints,small cartridge cimpare to that printer. Setting up of wifi with router is also not easy."
Gayatri,3.0 out of 5 stars,Ok,It is good for printing however scanning quality is not that good.
Amazon Customer,3.0 out of 5 stars,Not so user friendly,I am giving 3 stars for this printer. Installing this printer was a hurricane task. Setting up this printer in my home office took lot of time. I had to call the HP customer care several times. After trial and error for almost one hour it was installed successfully. Setting up wifi and printing from mobile devices is not easy with this printer. The mobile app too is not user friendly. Can't comment on the cartridge right now. I was using a CANON inkjet printer previously and it was a breeze using it.
Animesh nagdeve,4.0 out of 5 stars,Best,Easy
Rishabh shukla,5.0 out of 5 stars,All in one.,"At a affordable price , this printer is a good deal. It supports multiple functions (scan, copy, print) and it is having wifi connection too. And if u are a Student then it is good for u. All in one."
Sanket,5.0 out of 5 stars,Good printer and totally recommended,"The printer is really good. There is Apple AirPrint support. The print pages are nice and dark. The only problem is to remove the top paper tray handle, we have to lift the scanner cover every time. This is a poor design decision. This happens when you employ engineers to design a product instead of hiring a dedicated designer to do the job.
The scanner performance depends on the app you are using. But it is acceptable.
The printer was installed without any drivers on Windows 10."
"Usharani & Associates, Chartered Accountants",4.0 out of 5 stars,good,good
Godsons Distributer,4.0 out of 5 stars,Price wise it's higher but otherwise a good printer,Price wise it's higher but otherwise a good printer
Amazon Customer,5.0 out of 5 stars,I will recommend it to anyone who needs wifi printing,"One of the best decisions to buy this..i feel i wasted a year by not buying it then and struggling without it. All devices get easily connected, software is superb. Setting it up is slightly nerdy, but once done it works seamlessly. We have Mac and Windows machines in my office. I didn't get the Windows driver CD along, instead got 2 Mac CD's. But, on complaining about it - received it within 3 days by a separate courier. So, all was well there too.
HP customer support was very helpful too."
Padam,4.0 out of 5 stars,Ok,So good
Mayur Gawade,3.0 out of 5 stars,Roller Issue,Everything is ok except toner roller. After one month toner not printing properly after Refiling. Finally need to change roller.
Praveen kumar,5.0 out of 5 stars,Easy to use for children,Its very easy for childrens to use it and to take print outs using WiFi.
Vikas soni,5.0 out of 5 stars,Good,Good
Amit nagar,5.0 out of 5 stars,Good product,Good price
Amazon Customer,4.0 out of 5 stars,Purpose fulfilled,It’s easy to install and has good print quality.
gopalbhaduri,4.0 out of 5 stars,Nice product,Nice product. Installation of wireless printing couldn't understand
Ananth,5.0 out of 5 stars,Functioning printer.,"Printer came in well packaged and undamaged. All the necessary cables were in the box. Product is true to the description. However, the laser cartridge that came with the printer did not have too much life in it. Satisfied. I use the printer for personal use which includes printing, copying and scanning."
Tanmoy Ghosh,3.0 out of 5 stars,Wifi not working properly,"Print quality is good but wifi connection is not working properly ,sometimes it's works and sometimes it's stop working .what should I do? How can I print through mobile because it connected but not working? And it has no back light which is also a problem for users."
Anonymous,4.0 out of 5 stars,Cartridge refilling.,Printer is not working after i refill my cartridge. And its showing low ink level too.
Gautam kumar,4.0 out of 5 stars,good product,everything is just fine..but when i give print from mobile it loads file and take time if the size of file is large
Pranchu Choudhary,4.0 out of 5 stars,Nice product and easy to operate.,Good product but led light not in it.it was a disadvantage of this product..another way every thing is fine.fast prints in less time..i use this product since 10 months??????
Suheb,5.0 out of 5 stars,Nice printer,Nice product
Dinesh Neotia,5.0 out of 5 stars,"It’s a good product. But support service is cumbersome, not easy to avail. .",Good machine. Print is good. But print cartridge is not cheap.
Krishna V.,4.0 out of 5 stars,The printer came properly sealed and in good condition. I did not find installation and establishing ...,"The printer came properly sealed and in good condition. I did not find installation and establishing connectivity very easy and required couple of trials. Finally the printer is setup to print through the router. However, it requires the router to be (re)started after the printer is switched on. Otherwise, the functionality is quite nice and I like the operation."
RajaRathinam R,4.0 out of 5 stars,No cost EMI,I have purchased using No Cost EMI. But the bank has levyed Interest on the EMI. There is no credit or discount of Interest charged by the bank.
Velappan M,4.0 out of 5 stars,Very easy and fast printing printer it is very easy to install in pc or mobile phone,The scanning is not possible in mobile phone but possible in pc
Rohit Velapure,4.0 out of 5 stars,Happy shopping,Awesome product
SBR,4.0 out of 5 stars,PRINTER COVER,WOULD HAVE BEEN HAPPY IF THEY HAD INCLUDED A PRINTER COVER
Rakesh Dhedhi,5.0 out of 5 stars,"Very good product, worth the money.","Very good product, worth the money.
Printer came with all protection for toner.
Packing was good and instructions were very clear for first use."
Chinmay,5.0 out of 5 stars,I use it minimally but its good,Good. Got a installation CD. My laptop doesnt have CD disk. So installed from HP site. Bit inconvenient but ok overall for a layman.
Tanya Pradhan,5.0 out of 5 stars,Worth it!,"This printer is all i need ??
It was easy to configure and quality of print is also upto the mark. Customers reviews really helped me to find this one."
Girish Salvi,5.0 out of 5 stars,Excellent printer for Home office,Satisfies all needs for Home office as well as for students. Bought it for my child for college assignments and for wife and I as home office printer during lock down. Prompt delivery and excellent packing. Easy to install. Good print quality
DHAVAL,4.0 out of 5 stars,VALUE FOR MONEY,BEST MFP AVAILABLE WITH WIFI PRINTING
Murthy,4.0 out of 5 stars,Ok,Ok
Meher Prakash Patel,4.0 out of 5 stars,Scanning from mobile app is not functioning.,Scanning from mobile application is not functioning
Joe Rockey,4.0 out of 5 stars,HP Laser Printer,Good product. HP quality good as usual.
neeraj,5.0 out of 5 stars,Super,Super
Jiban Sarkar,5.0 out of 5 stars,Very good printer,Good quality
shivakumar m,3.0 out of 5 stars,No duplex printing,This printer does not support automatic duplex printing. In product description it is mentioned that duplex printing it's fake advertising to the product.The printer software and drivers are old and does not installing.
Amazon Customer,5.0 out of 5 stars,Poor print quality and cartridge offered,"Print quality - not even taken 50 pages of printout and within one of purchase, the toner cartridge is completely gone. Now HP service Center is asking us to replace with a new One."
Anwesh,4.0 out of 5 stars,Decent product,Takes too long to initialize when switched on. Photocopy quality could have been better.
sp,1.0 out of 5 stars,buy HP at your own risk,"Gave me problems with scanning and copying functions within couple of months of buying the printer. HP support is not very helpful. I am still fighting a battle to repair the printer for the defective functions. Its always risky to buy on line as HP customer care does not recognise HP support warranty dates even after registering with them. In my case i requested for repair of scanning and copying function in Aug 2015 (my first repair request was in Feb 2016 but it was a failure), while the warranty from HP support was till 09 sep 2016. They say warranty is over and the issue is still not resolved. I fail to understand why a printer not even an year old which is used only in home sparingly with good care gives problems before the year is out and on top of that HP support is more of an headache than support. I may have to repair it on my own on payment it seems. Dismayed with HP performance and their support.

If the printer works, then it will be a nice machine to have. I can vouch for that and for that to happen just keep your fingers crossed you get the right one. is It just a coincidence another colleague of mine bought the same machine after me had run into problems? Should not happen with expensive printers but it has happened with me and i feel very distressed."
Hiren Rathod,4.0 out of 5 stars,Printer is best but display is difficult to read so it must be improved.,Printer is best but display is difficult to read so it must be improved.
RAVINDER MEHTA,4.0 out of 5 stars,Not bad but..,HP 1005 print quality is much better than hp 126 nw
RUPESH,5.0 out of 5 stars,Great purchase,"Print quality is great.
Although it might be a bit difficult while installing but once u are able to operate its too easy to connect and print."
dr rajesh rathi,1.0 out of 5 stars,"Amazon is selling faulty product, never buy from Amazon","I brought this product on 11 march 2022, but within 2 month its printer n cartridge not working. Then I contacted to HP and they asked me serial numbers of product. When i enter the serial numbers, i came to know that warranty of this product had been expired.
How can this possible that 1 year warranty expired within 3 months.
Kindly help me"
Mithun K Pitchiah,5.0 out of 5 stars,"Good Quality printing, Easy Config","Follow the instruction and the printer setup was simple. being a laser printer, the print quality is good for documents. Scanning function also work well.
My printer is setup on the wifi and print from all the devices works just perfect."
kaustubh hajare,5.0 out of 5 stars,BEST IN CLASS PRINTER,"Very good print quality and easy to use and install.
But buying new toner cartridge is very costly. Otherwise its very user friendly and economical.
Worth buying it."
Piyush Pani Dikshit,4.0 out of 5 stars,Good product...,"Great multi function machine ... Good scans ... Average print quality ....
WiFi connectivity is a delight...
Build seems a bit flimsy .... Hope body and parts won't break easily..."
Roshan Kumar Kushwhaa,4.0 out of 5 stars,MFP126nw,Easy
Amazon Customer,4.0 out of 5 stars,satisfactory performance till date.,satisfactory. Wifi setup between mobile and printer not the easiest.
RITESH MISHRA,4.0 out of 5 stars,Good,Its good.
Lalremruati,4.0 out of 5 stars,Perfect,Easy to install
Rembarrier advisors Pvt Ltd,3.0 out of 5 stars,Functional printer and not user friendly.,Very small display poorly lit . No USB for scanning. Wifi gets interrupted often. No 2 side printing. Better to buy printer without these issues
Syed Jawaid hyder,5.0 out of 5 stars,not yet installed but looks super,not yet installed but looks super
Rajesh Wagh,3.0 out of 5 stars,Very difficult to configure on wi fi,It is difficult to configure to WiFi....still struggling to connect
MD mahfooz alam,3.0 out of 5 stars,"Very poor service and irresponsible Ho,and services are very irritating","Low print quality , installation is good
Wifi singnal is better than other services"
Mitesh,5.0 out of 5 stars,Good Printer,Easy to install. Working just fine as expected. Printing is fast. Yet to check how many pages it prints
Yaxit,1.0 out of 5 stars,Worst experience.... Worst customer service,Printer shutdown and malfunctioning since the last 25 days in spite of complaining online no reply from the customer service
Amazon Customer,3.0 out of 5 stars,Hp m126nw review,The printer is good looking setting it up is easy but the package I received had two mac cds and no windows cd for printer installation in pc or laptop .... reached out to hp customer care and they told it will take a week to send the cd to my shipping address not happy with hp when they know this can be a problem to indian customer they shd have both the cds in the same package and the customer won't have to water for a week
???? ?????,5.0 out of 5 stars,???? ?????? ???????? ???? ?? ????? ???,?????? ???? ?? ?????? ??????? ?? ???? ??? ????? ??????? ???? ?????? ???? ???? ?? ?? ???? ???? ?? ????? ??????? ??? ?
Sidgusting,4.0 out of 5 stars,Great printer! But cartridge jugaad reqd..,"I snatched this one for 10k during the lightning deal! I'm not a heavy user anymore so not too worried about the demo cartridge that comes along.. One just needs to figure out new original cartridge cost & subsequent refilling vs buying local compatible cartridges, to control recurring cost. I'll keep my eyes open for that option & cross the bridge when I get there."
Bharat,1.0 out of 5 stars,Absolute misrepresentation/expired product,Brought this a couple of months back. Strongly advise you against it. It is an outdated product. Doesn't work with Apple M1 or even Windows 11. I tried complaining but realised much to my horror that the warranty of this product (which I brought towards the end of 2021) stood expired in 2018. Grave misrepresentation by the website/seller. Neither HP nor Amazon has taken cognizance on it. Pursuing my remedies against them now under law.
Rocky kumar,5.0 out of 5 stars,Best for business purchases,Excellent quality product
Kiran Guhagarkar,4.0 out of 5 stars,Worth your money,"The printer is extremely good for home and small office use. though the initial setup gives up some hiccups, you can always refer online manuals. it is sad HP didn't think of providing a printer manual or instructions on how to use different features. As always, Amazon has delivered it on time and the customer service is also good. the printer is working very nicely."
Pathipala Ravindranath,3.0 out of 5 stars,Small problems,Compare to overall printer is ok but some problems like control panel board without LED light and print command react timing is slow.
Muhammad azharuddin,5.0 out of 5 stars,Easy to print,Print from mobile is good feature
Shravani Ladkat,4.0 out of 5 stars,Nice printer,"Really nice printer, but ink cartridge very small needed to refill in less than 200 prints"
Sada,5.0 out of 5 stars,HP Laserjet,"Good product, sleek and sturdy. Easy to install (from CD, downloading drivers is time consuming and slow) and gives good prints. Only drawback is lack of backlight on the LED panel. This makes it difficult to read notifications"
Brendan Jacob,5.0 out of 5 stars,works better then the inkjet,"for normal printing at home in black n white, I think its better than the inkjets as you do not have to worry too much of ink drying, etc. the only issue I faced is with the paper, it spools more paper at a time when you use a thinner GSM."
C R.,4.0 out of 5 stars,Amazing,Overall good experience. Cable free.
Nitesh Dwivedi,4.0 out of 5 stars,Photocopy quality is poor,Photocopy print could be improved
Haridasa N.,4.0 out of 5 stars,Over all good product,Back to back printing option is not there
GEORGE P.,3.0 out of 5 stars,which is the HP original Toner catridge for this model HP Laserjet Pro M126nw Multi-Function,which is the HP original Toner catridge for this model HP Laserjet Pro M126nw Multi-Function
Dr. Madupalli suresh kumar,4.0 out of 5 stars,Nice,"Nice and compact
Power packed product."
Amazon Customer,5.0 out of 5 stars,Good printer for the home and small office,"It is easy to install and it does a good job of printing, copying and scanning. I have not used the WiFi option as using with the cable has met my needs"
Deepa rawat,3.0 out of 5 stars,No A5 supported,"A5 paper size mention in discription but there is no option for A5 paper... Only A4, legal, postcard options display in setting..."
V. SHANMUGA THILAK,5.0 out of 5 stars,worthy laser monochrome printer.,"bets printer in this price range
pros:
1.quality printing.
2. comfortable weight and build.
3.easy installation.
4. wireless printing, mine is from iphone. hassle free connecting also from laptop and desktop.
cons:
1. display of details in the panel needs a torch pointed at it. should have had a better display.
2. should have had a dust cover.
Overall a great printer"
Nizamsp,1.0 out of 5 stars,Beware! Disappointed!,"Warning: No backlight on the display. On a printer of this price, what's the problem in putting some leds at the back??
Another big warning: No flatbed in scanner. If you have 100 pages to scan, you need to do it one by one. A cheap 3k rupees printer does this.

No return option in Amazon unless there is a technical defect. Make your choice clear before buying. I would have returned it if I was allowed.

Not an good experience on Linux machine. Setup was not easy. I will couldn't connect it wirelessly. Need to run a ethernet from router.

Only Good thing is, it's prints very fast. If you just do printing alone and nothing else, you can consider this."
deepak singh,5.0 out of 5 stars,wonderful product fast dilevery,"Product is very good and very fast printing. Only issue faced is dual side printing. One has to manually flip the the pages. But for that also instruction are shown by the printer as popup. Overall wonderful printer.
Also demo cartridge prints around 250-300 pages only which is very low."
shubham verma,4.0 out of 5 stars,Hp126nw printer,Best product for upsc student and small shopkeeper
UDIT GAHIR,4.0 out of 5 stars,Average,Wifi is not connect easily
Rohit Sharma,4.0 out of 5 stars,Slightly expensive,"Arrived soon enough, print quality is good configuration of wireless network is a little difficult"
RGG,4.0 out of 5 stars,Excellent Laser MFP,"Review after 2 days of use.

Pros

Very good built quality
Very Quiet
Very Easy to setup (follow instructions if you are a noob)
Very easy to connect through WiFi

Cons (i'm knit picking really)

The display could have been better.
Nothing else.

All n all, very good buy."
BRMALLA,1.0 out of 5 stars,Delay in printing,"Test page printing is prompt
Rest of the printing is taking lot of time"
Chanchal Kumar,4.0 out of 5 stars,Good Printer,Nice product
